State	Obama.538	Romney.538	Obama.avg	Romney.avg
Alabama	36.7	62.8	35.5	53.8
Alaska	38.7	59.8	NA	NA
Arizona	46.2	53.1	44.7	51.6
Arkansas	38.6	59.8	32.1	57.2
California	58.1	40.7	54.4	38.8
Colorado	50.8	48.3	48.6	46.7
Connecticut	56.6	42.5 	53.5	40.9
Delaware	59.6	39.8	NA	NA
District of Columbia	93.0	6.4 	88.0	8.0
Florida	49.8	49.8 	47.6	48.3
Georgia	45.5	54.2	44.4	51.9
Hawaii	66.5	32.7	61.1	33.6
Idaho	32.1	66.2	27.0	63.0
Illinois	59.8	39.6 	56.6	38.7
Indiana	45.3	54.0	42.0	52.5
Iowa	51.1	47.9 	48.6	46.0
Kansas	37.9	61.1	35.6	51.4
Kentucky	40.3	58.8 	39.0	53.0
Louisiana	39.3	59.9 	36.4	56.8
Maine.1	58.6	40.3 	56.6	39.4
Maine.2	52.9	46.0	50.1	45.4
Maryland	60.9	38.1	58.0	36.4
Massachusetts	59.0	39.9 	56.8	38.3
Michigan	53.0	45.9 	49.7	45.0
Minnesota	53.7	45.1	51.2	43.3
Mississippi	39.4	60.2 	NA	NA
Missouri	45.6	53.7	42.9	52.6
Montana	45.2	53.2 	43.4	52.2
Nebraska.1	42.8	56.5 	41.0	49.0
Nebraska.2	47.5	51.8 	44.7	49.1
Nebraska.3	29.8	69.4 	28.0	62.0
Nevada	51.8	47.3 	49.6	46.0
New Hampshire	51.4	47.9 	49.1	46.5
New Jersey	55.5	43.5 	52.2	40.6
New Mexico	54.1	44.7	50.3	42.2
New York	62.4	37.0	59.9	35.1
North Carolina	48.9	50.6 	46.7	48.6
North Dakota	42.0	56.7	38.6	54.3
Ohio	51.3	47.7	49.1	46.1
Oklahoma	33.8	65.9	32.6	58.6
Oregon	53.6	44.1	48.0	41.7
Pennsylvania	52.5	46.6 	49.7	45.1
Rhode Island	61.8	36.4 	55.0	32.9
South Carolina	43.2	56.1	41.2	45.1
South Dakota	42.5	56.2 	41.3	52.1
Tennessee	41.4	57.8 	40.0	54.5
Texas	41.2	58.2 	38.4	56.6
Utah	27.8	70.6 	24.3	69.9
Vermont	66.2	32.7 	62.0	25.0
Virginia	50.7	48.7 	48.2	46.9
Washington	56.2	42.6 	53.9	41.2
West Virginia	41.3	57.5 	38.0	52.0
Wisconsin	52.4	46.9 	50.1	45.8
Wyoming	30.9	67.7 	NA 	NA
